#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Duppattawaali (From  Odum Kuthira Chaadum Kuthira )","Justin Varghese,Sanjith Hegde,Anila Rajeev,Suhail Koya",95,9B,55,2026-02-02,04:14,55,"malayalam pop, mollywood, malayalam hip hop, kannada pop, sandalwood","Odum Kuthira Chaadum Kuthira",2025-08-28,75,41,4,63,0,10,-8,G Major,4,7HxcZWtRMDnyV9LksNAgdw,INM812500074
2,"ആട്ടം","Sage End,AMANI KL10",115,10A,49,2026-02-02,04:21,29,"malayalam hip hop","ആട്ടം",2025-12-19,76,80,1,26,0,10,-10,B Minor,4,4KuI6chThin5WtzKWYmLYG,INDM12500031
3,"Boss Bitch","Doja Cat",126,3A,96,2026-02-07,02:14,53,"","Birds of Prey: The Album",2020-02-07,71,13,0,57,20,20,-5,A#/B♭ Minor,4,0kEzNFvi5ZOlwn6ly5DR8i,USAT21907355
4,"Confident","Demi Lovato",130,5B,75,2026-02-07,03:25,73,"","Confident",2015-01-01,59,0,0,34,0,0,-6,D#/E♭ Major,4,3DXXKDbbZKyAZfNb96ST3q,USHR11536743
5,"Breakin' Dishes","Rihanna",125,1A,67,2026-02-07,03:20,86,"","Good Girl Gone Bad: Reloaded",2008-06-02,80,0,0,88,0,0,-4,G#/A♭ Minor,4,46aZJc0z1HHHSFxaIRxYSP,USUM70734702
6,"Ribs","Lorde",128,12B,47,2026-02-07,04:18,84,"","Pure Heroine",2013-09-27,53,53,61,4,0,10,-9,E Major,4,2MvvoeRt8NcOXWESkxWn3g,NZUM71300122
7,"Apple","Charli xcx",126,8B,96,2026-02-07,02:31,76,"hyperpop, art pop","BRAT",2024-06-07,80,13,2,96,0,10,-5,C Major,4,19RybK6XDbAVpcdxSbZL1o,USAT22401350
8,"Mayatheeram","Bhadra Rajin,Sreeranjini Kodampally",128,10B,62,2026-02-07,03:56,18,"malayalam hip hop, malayalam pop, mollywood","Mayatheeram",2025-11-07,67,65,12,34,0,10,-9,D Major,4,5Ox3gerw8gatalUBOQdumf,INSM32500111
9,"Bheegi Bheegi Raaton Mein - Jhankar Beats","DJ Harshit Shah,DJ MHD IND,Lata Mangeshkar,Kishore Kumar",143,12A,67,2026-02-07,03:49,45,"ghazal, bollywood, bhajan, hindi pop, marathi pop, bangla pop","Romnace Rewind Kishore Da - Jhankar Beats",2023-01-26,59,67,0,79,0,20,-9,C♯/D♭ Minor,3,3UFfd9eIHOvuIDSwYPRBat,INH102300810
10,"Patakha Guddi","Sultana,Jyoti Nooran",131,1B,79,2026-02-07,04:45,65,"sufi, bollywood, qawwali","Highway",2014-01-22,81,25,0,90,0,10,-5,B Major,4,7jpmNt5iCtSdXuT1xEGp8O,INS181400022
11,"Desi Girl","Vishal-Shekhar,Shankar Mahadevan,Sunidhi Chauhan,Vishal Dadlani",136,4B,92,2026-02-07,05:06,64,"bollywood, desi, hindi pop, marathi pop, devotional, bhajan, tamil dance","Dostana (Original Motion Picture Soundtrack)",2008-10-08,75,2,0,81,0,10,-6,G#/A♭ Major,4,3Qpk2qHree1RTH5lZaKnEK,INS170816341
12,"Round 2","Mary Ann Alexander",154,6A,54,2026-02-07,02:26,31,"malayalam hip hop, malayalam pop, indian indie, mollywood","Round 2",2025-07-02,72,26,0,77,30,10,-5,G Minor,4,75IUJnc7xavDspKEAFnvkp,QZNMT2551632
13,"Jaalakaari","Sai Abhyankkar,Sublahshini,Vinayak Sasikumar",85,2B,51,2026-02-07,03:58,60,"tamil indie, kollywood, tamil pop, tamil dance, tollywood, malayalam pop, mollywood, malayalam hip hop","Balti (Original Motion Picture Soundtrack)",2025-09-27,31,57,0,62,0,0,-10,F#/G♭ Major,4,0yn06d5JSYEUmnbJkjwnwB,INT202506145
14,"Kiliye Kiliye - Afrobeat Mix","The Independeners,S. Janaki,Ilaiyaraaja",94,9A,77,2026-02-07,01:30,68,"malayalam pop, malayalam hip hop, mollywood, kannada pop, tamil pop, telugu pop, sandalwood, kollywood","Kiliye Kiliye - Afrobeat Mix",2024-04-26,80,35,13,60,0,20,-5,E Minor,4,6Or4iU4UNhDftBYfRXh7xr,INH102406682
15,"Unakkul Naane","Harris Jayaraj,Rohini,Pritt,dilushselva",107,5A,53,2026-02-07,02:07,70,"tamil pop, kollywood, tamil dance, tamil indie","Unakkul Naane",2023-05-03,60,68,0,35,0,10,-10,C Minor,4,4Bsf8Pzli5MQv9zLF9KXqc,GBKPL2162821
16,"Run Down The City - Monica","Shashwat Sachdev,Reble,Asha Bhosle,R. D. Burman,Majrooh Sultanpuri",133,10A,76,2026-02-07,02:20,76,"bollywood, desi pop, indian indie, malayalam hip hop, desi hip hop, ghazal, marathi pop, bangla pop, hindi pop, ","Dhurandhar",2025-12-05,72,0,0,56,10,10,-4,B Minor,4,5NK3IhIeIXQmOKK5EiSRra,INH102507031
17,"Thani Lokah Murakkaari (From  Lokah - Chapter 1: Chandra )","Jakes Bejoy,Jyoti Nooran,Reble,Mu.Ri",92,8B,76,2026-02-07,03:51,66,"malayalam pop, mollywood, malayalam hip hop, sufi, bollywood, qawwali, desi hip hop","Thani Lokah Murakkaari (From  Lokah - Chapter 1: Chandra )",2025-08-20,73,21,0,23,10,0,-8,C Major,4,7gX2JJVKndYEVApM5GRtqZ,INA982500299
18,"Queen Of The Night (From  Lokah - Chapter 1: Chandra )","Jakes Bejoy,Zeba Tommy",76,10B,46,2026-02-07,03:29,53,"malayalam pop, mollywood, malayalam hip hop","Queen Of The Night (From  Lokah - Chapter 1: Chandra )",2025-09-18,56,12,0,31,0,10,-9,D Major,4,0WW5RwxCofx9vPQWOIcahc,INA982500381
